Country,Region,Conflict_Status,Year
Syria,Middle East,Affected,2023
Yemen,Middle East,Affected,2023
Nigeria,Sub-Saharan Africa,Affected,2023
Somalia,Sub-Saharan Africa,Affected,2023
South Sudan,Sub-Saharan Africa,Affected,2023
Myanmar,South-East Asia,Affected,2023
Philippines,South-East Asia,Affected,2023
Thailand,South-East Asia,Affected,2023
France,Europe,Not Affected,2023
Germany,Europe,Not Affected,2023
India,South Asia,Not Affected,2023
Pakistan,South Asia,Not Affected,2023
Iraq,Middle East,Affected,2023
Lebanon,Middle East,Affected,2023
Ethiopia,Sub-Saharan Africa,Affected,2023
Democratic Republic of Congo,Sub-Saharan Africa,Affected,2023
Cameroon,Sub-Saharan Africa,Affected,2023
Laos,South-East Asia,Affected,2023
Cambodia,South-East Asia,Affected,2023
